method,n,i,j,x,y,u1,u2
TRT,12,8,8,0.7083333333333333,0.7083333333333333,-2.501714892699934,5.814202853369069e-14
TRT,12,8,9,0.7083333333333333,0.7916666666666666,-2.501714892699938,6.128137857873389e-14
TRT,12,8,10,0.7083333333333333,0.8749999999999999,-1.8313824075080873,6.328106164851831e-14
TRT,12,8,11,0.7083333333333333,0.9583333333333333,-0.6703324851918634,6.423700689812671e-14
TRT,12,9,0,0.7916666666666666,0.041666666666666664,0.6703324851918634,6.418900731041246e-14
TRT,12,9,1,0.7916666666666666,0.125,1.8313824075080827,6.142117200772841e-14
TRT,12,9,2,0.7916666666666666,0.20833333333333331,2.501714892699933,5.835643925564097e-14
TRT,12,9,3,0.7916666666666666,0.2916666666666667,2.50171489269994,6.457167302893956e-14
TRT,12,9,4,0.7916666666666666,0.375,1.8313824075080796,6.249579772112997e-14
TRT,12,9,5,0.7916666666666666,0.4583333333333333,0.6703324851918631,6.416478462371834e-14
TRT,12,9,6,0.7916666666666666,0.5416666666666666,-0.6703324851918636,6.253723055482467e-14
TRT,12,9,7,0.7916666666666666,0.6249999999999999,-1.8313824075080813,6.079951943529477e-14
TRT,12,9,8,0.7916666666666666,0.7083333333333333,-2.50171489269993,6.575759733628163e-14
TRT,12,9,9,0.7916666666666666,0.7916666666666666,-2.501714892699937,6.347988491436238e-14
TRT,12,9,10,0.7916666666666666,0.8749999999999999,-1.8313824075080862,6.144933506092407e-14
TRT,12,9,11,0.7916666666666666,0.9583333333333333,-0.6703324851918673,6.300956302795117e-14
TRT,12,10,0,0.8749999999999999,0.041666666666666664,0.6703324851918636,4.381823190322242e-14
TRT,12,10,1,0.8749999999999999,0.125,1.8313824075080816,4.4157052559130037e-14
TRT,12,10,2,0.8749999999999999,0.20833333333333331,2.501714892699938,4.595047583598238e-14
TRT,12,10,3,0.8749999999999999,0.2916666666666667,2.501714892699933,4.177642376330582e-14
TRT,12,10,4,0.8749999999999999,0.375,1.8313824075080862,4.3291122194791345e-14
TRT,12,10,5,0.8749999999999999,0.4583333333333333,0.670332485191864,4.355568734821831e-14
TRT,12,10,6,0.8749999999999999,0.5416666666666666,-0.6703324851918656,4.6955690886603715e-14
TRT,12,10,7,0.8749999999999999,0.6249999999999999,-1.8313824075080787,4.648148089435485e-14
TRT,12,10,8,0.8749999999999999,0.7083333333333333,-2.501714892699936,4.6739405925920166e-14
TRT,12,10,9,0.8749999999999999,0.7916666666666666,-2.5017148926999355,4.672189533053855e-14
TRT,12,10,10,0.8749999999999999,0.8749999999999999,-1.8313824075080882,4.407996307086016e-14
TRT,12,10,11,0.8749999999999999,0.9583333333333333,-0.6703324851918641,4.224533763451242e-14
TRT,12,11,0,0.9583333333333333,0.041666666666666664,0.6703324851918644,1.6983943148769518e-14
TRT,12,11,1,0.9583333333333333,0.125,1.8313824075080862,1.7865506486512992e-14
TRT,12,11,2,0.9583333333333333,0.20833333333333331,2.501714892699932,1.3536371509595437e-14
TRT,12,11,3,0.9583333333333333,0.2916666666666667,2.501714892699937,1.476732435630366e-14
TRT,12,11,4,0.9583333333333333,0.375,1.8313824075080776,1.4504800473365167e-14
TRT,12,11,5,0.9583333333333333,0.4583333333333333,0.6703324851918607,2.0212349162674096e-14
TRT,12,11,6,0.9583333333333333,0.5416666666666666,-0.6703324851918612,1.4104504139333084e-14
TRT,12,11,7,0.9583333333333333,0.6249999999999999,-1.831382407508081,1.7624013378030326e-14
TRT,12,11,8,0.9583333333333333,0.7083333333333333,-2.501714892699931,2.212886046412169e-14
TRT,12,11,9,0.9583333333333333,0.7916666666666666,-2.5017148926999395,1.883415981819497e-14
TRT,12,11,10,0.9583333333333333,0.8749999999999999,-1.8313824075080847,1.7731645244863297e-14
TRT,12,11,11,0.9583333333333333,0.9583333333333333,-0.6703324851918656,1.7073364436214424e-14
SRT,12,0,0,0.041666666666666664,0.041666666666666664,0.6258524552010996,-9.390238065789674e-15
SRT,12,0,1,0.041666666666666664,0.125,1.7098607056511241,-1.2758684367017524e-14
SRT,12,0,2,0.041666666666666664,0.20833333333333331,2.33571316085223,-1.3992193835428092e-14
SRT,12,0,3,0.041666666666666664,0.2916666666666667,2.33571316085223,-2.8090748065134375e-14
SRT,12,0,4,0.041666666666666664,0.375,1.709860705651138,-1.0287390915409914e-14
SRT,12,0,5,0.041666666666666664,0.4583333333333333,0.6258524552011102,1.2299999657641475e-14
SRT,12,0,6,0.041666666666666664,0.5416666666666666,-0.6258524552010643,1.3893375439725866e-14
SRT,12,0,7,0.041666666666666664,0.6249999999999999,-1.7098607056511008,2.3152034755700463e-14
SRT,12,0,8,0.041666666666666664,0.7083333333333333,-2.335713160852201,1.4312498024804462e-14
SRT,12,0,9,0.041666666666666664,0.7916666666666666,-2.3357131608522037,3.306163029930984e-15
SRT,12,0,10,0.041666666666666664,0.8749999999999999,-1.7098607056511066,-1.0712686741144973e-14
SRT,12,0,11,0.041666666666666664,0.9583333333333333,-0.6258524552010811,-1.41808561945503e-14
SRT,12,1,0,0.125,0.041666666666666664,0.6258524552010979,-1.260264941170207e-14
SRT,12,1,1,0.125,0.125,1.7098607056511161,-2.903189563118717e-15
SRT,12,1,2,0.125,0.20833333333333331,2.3357131608522086,-1.0951142597968268e-14
SRT,12,1,3,0.125,0.2916666666666667,2.335713160852212,-1.550641858444461e-14
SRT,12,1,4,0.125,0.375,1.7098607056511308,-7.738922021151546e-15
SRT,12,1,5,0.125,0.4583333333333333,0.6258524552011031,-1.3636219641059013e-16
SRT,12,1,6,0.125,0.5416666666666666,-0.6258524552010805,6.859419399560505e-15
