rate_choice,a_exact,s_plus_exact,n,h,status,e_u2,d2
interior,4/25,17/10,96,0.010416666666666666,regular,0.00032725804960846087,2.7128739699557752e-05
interior,4/25,17/10,128,0.0078125,regular,0.00018408374383018417,1.9618967794456344e-05
interior,4/25,7/4,96,0.010416666666666666,regular,0.00032756342300861913,2.7173175690577167e-05
interior,4/25,7/4,128,0.0078125,regular,0.000184255350353503,1.9638500613150378e-05
interior,4/25,9/5,96,0.010416666666666666,regular,0.0003278518344302527,2.7215175628353402e-05
interior,4/25,9/5,128,0.0078125,regular,0.00018441742419443062,1.9656943090543403e-05
interior,4/25,37/20,96,0.010416666666666666,regular,0.0003281246589164198,2.7254934070203746e-05
interior,4/25,37/20,128,0.0078125,regular,0.00018457073819460736,1.9674384631125146e-05
interior,4/25,19/10,96,0.010416666666666666,regular,0.000328383126793983,2.7292625325370995e-05
interior,4/25,19/10,128,0.0078125,regular,0.00018471598385095926,1.9690903958768356e-05
interior,4/25,39/20,96,0.010416666666666666,regular,0.00032862834222381886,2.732840571692763e-05
interior,4/25,39/20,128,0.0078125,regular,0.00018485378174349897,1.9706572283361634e-05
interior,4/25,2,96,0.010416666666666666,outlier,0.00039382002073796665,0.006816587454298899
interior,4/25,2,128,0.0078125,failure,,
SRT,4/25,16/9,96,0.010416666666666666,regular,0.0003277256540490166,2.7196796729203836e-05
SRT,4/25,16/9,128,0.0078125,regular,0.00018434651676694342,1.964887515517516e-05
OTRT,1/5,2/11,96,0.010416666666666666,regular,0.000338516991340574,1.9972076869858763e-05
OTRT,1/5,2/11,128,0.0078125,regular,0.0001904360689862942,1.5546663685011367e-05
interior,1/5,1/20,96,0.010416666666666666,regular,0.0002222372082073675,2.5400961634473603e-05
interior,1/5,1/20,128,0.0078125,regular,0.00012489155097145004,1.3636134375338513e-05
interior,1/5,1/10,96,0.010416666666666666,regular,0.0003023206358974291,1.9422181841611337e-05
interior,1/5,1/10,128,0.0078125,regular,0.00017005995209043372,1.3588767418098686e-05
interior,1/5,3/20,96,0.010416666666666666,regular,0.00032912331460136965,1.936741540161918e-05
interior,1/5,3/20,128,0.0078125,regular,0.00018515038234409839,1.4896999618332548e-05
interior,1/5,1/5,96,0.010416666666666666,regular,0.0003425448725474638,2.0343563878678886e-05
interior,1/5,1/5,128,0.0078125,regular,0.0001927020025626878,1.585193749640473e-05
interior,1/5,1/4,96,0.010416666666666666,regular,0.00035060426758327755,2.128738629451287e-05
interior,1/5,1/4,128,0.0078125,regular,0.0001972350186507407,1.6504402856321754e-05
interior,1/5,3/10,96,0.010416666666666666,regular,0.0003559798861681151,2.2058536820207137e-05
interior,1/5,3/10,128,0.0078125,regular,0.0002002578791432508,1.6965665772914017e-05
interior,1/5,7/20,96,0.010416666666666666,regular,0.00035982092919567625,2.2673183714166663e-05
interior,1/5,7/20,128,0.0078125,regular,0.0002024174807127217,1.7305402187777017e-05
interior,1/5,2/5,96,0.010416666666666666,regular,0.00036270243020983424,2.316605891732547e-05
interior,1/5,2/5,128,0.0078125,regular,0.00020403740881817106,1.7564724197646323e-05
interior,1/5,9/20,96,0.010416666666666666,regular,0.0003649440232563734,2.3566740001437793e-05
interior,1/5,9/20,128,0.0078125,regular,0.00020529748723583543,1.7768594473361772e-05
interior,1/5,1/2,96,0.010416666666666666,regular,0.0003667375656376836,2.389736502908344e-05
interior,1/5,1/2,128,0.0078125,regular,0.00020630563453081108,1.7932810093148707e-05
interior,1/5,11/20,96,0.010416666666666666,regular,0.0003682051864561962,2.417406937393283e-05
interior,1/5,11/20,128,0.0078125,regular,0.00020713053818694095,1.8067774003584944e-05
interior,1/5,3/5,96,0.010416666666666666,regular,0.0003694283254682956,2.4408637639631526e-05
interior,1/5,3/5,128,0.0078125,regular,0.00020781799628867667,1.8180584496263268e-05
interior,1/5,13/20,96,0.010416666666666666,regular,0.0003704633755991234,2.460977707780599e-05
interior,1/5,13/20,128,0.0078125,regular,0.00020839971885089597,1.8276236141971865e-05
interior,1/5,7/10,96,0.010416666666666666,regular,0.00037135062440293946,2.4784015860586514e-05
interior,1/5,7/10,128,0.0078125,regular,0.00020889835805905198,1.835833880203825e-05
interior,1/5,3/4,96,0.010416666666666666,regular,0.00037211962037387295,2.493632257109004e-05
interior,1/5,3/4,128,0.0078125,regular,0.0002093305268703041,1.8429562963169977e-05
interior,1/5,4/5,96,0.010416666666666666,regular,0.00037279252764484697,2.5070534782794558e-05
interior,1/5,4/5,128,0.0078125,regular,0.00020970868587335013,1.849192426473184e-05
interior,1/5,17/20,96,0.010416666666666666,regular,0.00037338629709238825,2.518965740916079e-05
interior,1/5,17/20,128,0.0078125,regular,0.00021004236433296052,1.8546972289679295e-05
interior,1/5,9/10,96,0.010416666666666666,regular,0.0003739141139824397,2.5296072730010582e-05
interior,1/5,9/10,128,0.0078125,regular,0.00021033897429373338,1.8595916481647762e-05
interior,1/5,19/20,96,0.010416666666666666,regular,0.0003743863886082909,2.5391692320676958e-05
interior,1/5,19/20,128,0.0078125,regular,0.00021060436764536408,1.8639714965056206e-05
interior,1/5,1,96,0.010416666666666666,regular,0.000374811449825726,2.54780664155082e-05
interior,1/5,1,128,0.0078125,regular,0.00021084322609713413,1.8679135859931332e-05
interior,1/5,21/20,96,0.010416666666666666,regular,0.0003751960404947698,2.555646397264633e-05
interior,1/5,21/20,128,0.0078125,regular,0.00021105933974153063,1.8714801994698954e-05
interior,1/5,11/10,96,0.010416666666666666,regular,0.0003755456778303599,2.5627933899729516e-05
interior,1/5,11/10,128,0.0078125,regular,0.00021125580967505726,1.874722398560628e-05
interior,1/5,23/20,96,0.010416666666666666,regular,0.000375864919782495,2.5693350178008897e-05
interior,1/5,23/20,128,0.0078125,regular,0.00021143519774714767,1.87768238880428e-05
interior,1/5,6/5,96,0.010416666666666666,regular,0.00037615756483133455,2.5753446536110387e-05
interior,1/5,6/5,128,0.0078125,regular,0.000211599638893182,1.88039540222647e-05
interior,1/5,5/4,96,0.010416666666666666,regular,0.0003764268038454078,2.58088433684927e-05
interior,1/5,5/4,128,0.0078125,regular,0.0002117509265049112,1.8828910684855434e-05
interior,1/5,13/10,96,0.010416666666666666,regular,0.0003766753369022141,2.5860068507020487e-05
interior,1/5,13/10,128,0.0078125,regular,0.0002118905781016516,1.885194396454764e-05
interior,1/5,27/20,96,0.010416666666666666,regular,0.0003769054641566203,2.5907574135144244e-05
interior,1/5,27/20,128,0.0078125,regular,0.00021201988641486033,1.8873267832624108e-05
interior,1/5,7/5,96,0.010416666666666666,regular,0.0003771191572394019,2.5951749638848476e-05
interior,1/5,7/5,128,0.0078125,regular,0.0002121399595202607,1.8893065120511333e-05
interior,1/5,29/20,96,0.010416666666666666,regular,0.0003773181158892622,2.599293218663325e-05
interior,1/5,29/20,128,0.0078125,regular,0.00021225175267579438,1.8911494259365704e-05
interior,1/5,3/2,96,0.010416666666666666,regular,0.00037750381325551394,2.603141484533066e-05
interior,1/5,3/2,128,0.0078125,regular,0.0002123560937800329,1.8928692113678397e-05
interior,1/5,31/20,96,0.010416666666666666,regular,0.0003776775324455692,2.606745389949641e-05
interior,1/5,31/20,128,0.0078125,regular,0.00021245370393039984,1.8944777311268846e-05
interior,1/5,8/5,96,0.010416666666666666,regular,0.0003778403962011364,2.6101274062089476e-05
interior,1/5,8/5,128,0.0078125,regular,0.00021254521407978116,1.8959854844543577e-05
interior,1/5,33/20,96,0.010416666666666666,regular,0.0003779933912032157,2.6133073944962226e-05
interior,1/5,33/20,128,0.0078125,regular,0.00021263117871988518,1.8974016343127147e-05
interior,1/5,17/10,96,0.010416666666666666,regular,0.0003781373880719612,2.6163028547620316e-05
interior,1/5,17/10,128,0.0078125,regular,0.00021271208711304252,1.8987342411650394e-05
interior,1/5,7/4,96,0.010416666666666666,regular,0.00037827315794481217,2.6191293712569647e-05
