choice,ell,s_plus,h,y,u_numerical,u_exact
OTRT,0.0,0.18181818181818188,0.03125,0.984375,0.006249999999999804,0.00615234375
tuned,0.0,0.3333333333333334,0.03125,0.015625,0.00615234375000002,0.00615234375
tuned,0.0,0.3333333333333334,0.03125,0.046875,0.017871093750000063,0.017871093749999997
tuned,0.0,0.3333333333333334,0.03125,0.078125,0.02880859375000011,0.028808593749999997
tuned,0.0,0.3333333333333334,0.03125,0.109375,0.03896484375000019,0.03896484374999999
tuned,0.0,0.3333333333333334,0.03125,0.140625,0.0483398437500003,0.04833984374999999
tuned,0.0,0.3333333333333334,0.03125,0.171875,0.05693359375000043,0.05693359375
tuned,0.0,0.3333333333333334,0.03125,0.203125,0.06474609375000043,0.06474609375
tuned,0.0,0.3333333333333334,0.03125,0.234375,0.07177734375000035,0.07177734374999999
tuned,0.0,0.3333333333333334,0.03125,0.265625,0.07802734375000027,0.07802734374999999
tuned,0.0,0.3333333333333334,0.03125,0.296875,0.08349609375000024,0.08349609375
tuned,0.0,0.3333333333333334,0.03125,0.328125,0.08818359375000023,0.08818359375
tuned,0.0,0.3333333333333334,0.03125,0.359375,0.09208984375000034,0.09208984375
tuned,0.0,0.3333333333333334,0.03125,0.390625,0.09521484375000032,0.09521484374999999
tuned,0.0,0.3333333333333334,0.03125,0.421875,0.09755859375000031,0.09755859374999999
tuned,0.0,0.3333333333333334,0.03125,0.453125,0.09912109375000033,0.09912109374999999
tuned,0.0,0.3333333333333334,0.03125,0.484375,0.09990234375000012,0.09990234375
tuned,0.0,0.3333333333333334,0.03125,0.515625,0.09990234374999986,0.09990234374999998
tuned,0.0,0.3333333333333334,0.03125,0.546875,0.09912109374999975,0.09912109375
tuned,0.0,0.3333333333333334,0.03125,0.578125,0.09755859374999974,0.09755859374999999
tuned,0.0,0.3333333333333334,0.03125,0.609375,0.09521484374999985,0.09521484375
tuned,0.0,0.3333333333333334,0.03125,0.640625,0.09208984374999991,0.09208984375
tuned,0.0,0.3333333333333334,0.03125,0.671875,0.08818359374999997,0.08818359374999998
tuned,0.0,0.3333333333333334,0.03125,0.703125,0.08349609375000004,0.08349609375
tuned,0.0,0.3333333333333334,0.03125,0.734375,0.07802734375000012,0.07802734374999999
